ID,ward,district,age_hhh,sex_hhh,edu_hhh,elderly,adult,youth,family_size,nb_of_tractors,nb_of_two_wheel_tractors,nb_of_ploughs,nb_of_cultivators,nb_of_scotchcarts,nb_of_wheelbarows,nb_of_metal_siloes_or_other_improved_storage_facility,nb_of_solar_panels,nb_of_biogas_digester,nb_of_green_houses,nb_of_motorized_grinding_mill,cropped_area,fallow,maize,small_grains,legumes,other,cattle,small_rum,poultry,how_many_bee_hives_do_you_currently_own,do_you_have_a_fish_pond,TLU,do_you_have_an_individual_garden,do_you_have_access_to_a_community_garden,Main food source,Main income source,food_security,hdds,Quality certified seeds,Community seed banks,Drought tolerant varieties,Small grains,Early planting,Crop rotation,Intercropping,Cover crops,Mulching,Integrated pest management,Compost and/or manure,Drip- and/or micro-irrigation market,Optimum plant density,Tree planting on-farm,Tree retention (natural regeneration) on-farm,Improved livestock breed,Improved animal shelter,Water infrastructure,Routine vaccination,Home vaccination,Castration,Deworming,Dipping,Home spraying,Paravet,Homemade animal feed,Fodder production,Fodder preservation,Survival feeding,Commercial feed,Artificial insemination,Pen fattening,crop_div,liv_div,tot_div,clearing,soil_fertility,soil_erosion,soil_compaction,tree_cover,Basal fertilizer,Top-dressing fertilizer,Manure,Compost,credit,saving_loan,knowledge,cereals,Cereal yield (kg/ha),newliv,offtake,death,cattle_goats_poultry
108,Ward 2,Mbire,61,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0,0,2,0,0,No,0.4,0,1,1,1,0.333333333,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,2,4,0,Stable,Stable,Deteriorating,Deteriorating,20,20,0,0,No,No,Government extension,490,612.5,0.1,0,0,0.2
109,Ward 2,Mbire,45,0,0,0,2,1,3,0,0,0,1,0,0,0,1,0,0,0,0.8,0,0.4,0.4,0.01,0,3,10,7,35,No,4.17,1,0,0,0,0.333333333,4,Yes,No,Yes,Yes,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,No,5,6,11,0,Deteriorating,Deteriorating,Deteriorating,Improving,15,0,10,10,No,No,Government extension,450,562.5,0.32,0.02,0,3.15
11,Ward 2,Mbire,39,0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,1.2,0,0.4,0.6,0.2,0,0,1,0,0,No,0.2,0,0,1,0,0.583333333,4,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,2,2,4,0,Deteriorating,Stable,Deteriorating,Deteriorating,50,80,0,0,Yes,No,Government extension,1050,1050,0.1,0,0,0.1
110,Ward 2,Mbire,38,1,0,2,2,0,6,0,0,0,0,0,0,0,1,0,0,1,1,0,0.4,0.6,0,0,0,5,2,0,No,1.02,0,0,0,0,0.583333333,2,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,1,3,4,0,Deteriorating,Stable,Stable,Stable,0,0,0,0,No,No,Government extension,1000,1000,0.02,0,0,0.52
111,Ward 2,Mbire,36,0,1,0,2,0,5,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,5,10,0,No,1.1,1,0,0,0,0.333333333,2,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,4,3,7,0,Stable,Deteriorating,Deteriorating,Deteriorating,0,0,0,0,No,No,Government extension,150,150,0.25,0.25,0,0.6
112,Ward 2,Mbire,31,0,1,0,2,0,5,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,No,0,1,0,0,0,0.416666667,3,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,1,5,0,Stable,Deteriorating,Stable,Deteriorating,25,25,0,0,No,No,Government extension,50,250,0,0,0,0
113,Ward 2,Mbire,62,1,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0.4,0,0,0,0,0,2,0,No,0.02,0,0,0,0,0.166666667,2,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,2,2,0,Improving,Deteriorating,Deteriorating,Deteriorating,0,0,0,0,No,No,Government extension,150,375,0,0,0,0.02
114,Ward 2,Mbire,48,1,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0.6,0.6,0,0,0,2,5,0,No,0.45,1,0,0,0,0.416666667,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,3,6,0,Stable,Improving,Stable,Deteriorating,0,0,0,0,No,No,Government extension,320,266.6666667,0,0,0,0.2
115,Ward 2,Mbire,30,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,1.2,0,0,1,0.2,0,0,0,0,0,No,0,1,0,1,0,0.5,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,1,5,0,Deteriorating,Improving,Stable,Deteriorating,0,0,0,0,Yes,Yes,Government extension,400,400,0,0,0,0
116,Ward 2,Mbire,49,0,0,0,2,0,6,0,0,0,0,0,0,0,0,0,0,0,1.8,0,0.8,0.8,0,0.2,0,0,0,0,No,0,0,0,1,0,0.5,4,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,2,0,Deteriorating,Stable,Stable,Improving,0,0,0,0,No,No,Other farmers,250,156.25,0,0,0,0
117,Ward 2,Mbire,71,0,1,3,3,1,8,0,0,1,0,0,0,0,1,0,0,0,1.1,2,0.1,0.4,0.2,0.4,9,7,17,0,No,7.87,1,0,1,0,0.5,4,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,7,5,12,0,Deteriorating,Stable,Stable,Improving,20,0,250,0,Yes,Yes,Other farmers,400,800,1.75,1.52,2.45,7.17
118,Ward 2,Mbire,36,0,1,0,2,0,3,0,0,1,0,0,1,0,2,0,0,0,1,0,0,0.5,0.5,0,0,0,20,0,No,1.2,0,0,1,1,0.416666667,3,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,3,3,6,0,Stable,Stable,Stable,Improving,50,50,0,0,No,No,Government extension,1100,2200,0.14,0.12,0.04,0.2
119,Ward 2,Mbire,44,0,1,0,2,0,3,0,0,0,0,0,0,0,3,0,0,0,1.4,0,0.8,0.6,0,0,0,0,0,0,No,0,0,0,0,0,0.916666667,3,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,1,2,0,Stable,Stable,Stable,Stable,50,50,0,0,No,No,Government extension,600,428.5714286,0,0,0,0
12,Ward 2,Mbire,64,1,0,1,2,0,6,0,0,1,0,0,0,0,1,0,0,0,1.6,0,0.2,1,0.4,1.11E-16,8,22,6,1,No,10.06,1,0,1,1,0.25,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,No,No,No,No,No,10,5,15,0,Deteriorating,Deteriorating,Stable,Deteriorating,50,50,0,0,Yes,Yes,Government extension,1000,1000,2.26,0.1,0.4,7.86
120,Ward 2,Mbire,49,0,0,0,3,1,7,0,0,0,0,0,0,0,1,0,0,0,3,0,0.5,1,0.5,1,11,16,9,0,No,10.99,1,0,1,1,0.333333333,3,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,6,5,11,0,Stable,Stable,Deteriorating,Improving,50,50,0,0,No,No,Government extension,2100,1400,1.86,0.5,0.7,9.36
121,Ward 2,Mbire,51,0,0,0,2,2,5,0,0,1,0,1,0,0,0,0,0,0,1.8,0.4,0.4,0.6,0.6,0.2,8,20,65,0,No,10.25,0,0,1,1,0.5,3,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,4,6,10,0,Deteriorating,Deteriorating,Deteriorating,Stable,60,50,0,0,No,No,Relatives,1500,1500,4.4,0.82,1.5,8.1
122,Ward 2,Mbire,47,0,0,1,2,1,6,0,0,1,0,1,0,0,2,0,0,0,1,0.2,0,0.4,0.6,0,15,6,18,0,No,11.88,1,0,1,1,0.416666667,3,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,9,4,13,0,Deteriorating,Stable,Stable,Stable,20,30,0,0,No,No,Government extension,250,1250,1.22,0.03,2.05,11.28
123,Ward 2,Mbire,47,0,0,1,4,1,11,0,0,0,0,0,0,0,0,0,0,0,1,2,0.4,0.4,0.2,0,0,4,3,0,No,0.83,1,0,1,0,0,3,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,7,3,10,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,50,50,0,0,No,No,Other farmers,400,500,0.3,0,0.34,0.43
124,Ward 2,Mbire,64,0,0,2,1,1,7,0,0,1,0,0,0,0,1,0,0,0,0.16,0,0.5,0.8,0.3,0,3,3,7,1,No,2.77,1,0,0,1,0,3,Yes,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,7,6,13,0,Deteriorating,Deteriorating,Stable,Stable,100,50,0,0,No,No,Government extension,750,576.9230769,0.16,0.03,0,2.43
125,Ward 2,Mbire,57,1,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0.4,1.2,0.3,0,0.1,2.78E-17,0,4,5,0,No,0.85,1,0,1,0,0.75,2,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,3,6,0,Deteriorating,Stable,Improving,Deteriorating,0,0,0,0,No,No,Government extension,150,500,0.2,0.13,0.02,0.45
126,Ward 2,Mbire,43,0,1,0,2,2,7,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0.2,0.8,0,22,30,2,No,4.7,1,0,1,1,0.25,5,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,8,4,12,0,Deteriorating,Stable,Deteriorating,Deteriorating,50,50,250,0,No,Yes,Government extension,0,NA,1.05,0.38,0.45,2.5
127,Ward 2,Mbire,25,0,1,0,1,1,3,0,0,0,0,0,0,0,1,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,No,0,1,0,0,1,0.5,3,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,1,5,0,Deteriorating,Deteriorating,Stable,Improving,0,0,0,0,No,No,Other farmers,0,0,0,0,0,0
128,Ward 2,Mbire,47,0,0,0,2,1,3,0,0,1,0,0,0,0,1,0,0,0,0.8,0,0.5,0,0.3,5.55E-17,4,4,4,0,No,3.64,1,0,0,0,0.333333333,3,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,4,4,8,0,Stable,Improving,Stable,Improving,0,0,0,0,No,No,Government extension,250,500,0.7,0.8,0,3.24
129,Ward 2,Mbire,65,1,0,1,1,4,7,0,0,0,0,0,0,0,1,0,0,0,0.8,0.2,0.4,0.4,0,0,1,2,3,0,No,1.13,0,1,1,0,0,2,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,1,4,5,0,Deteriorating,Improving,Deteriorating,Deteriorating,100,100,0,0,No,No,Development NGO,50,62.5,0.1,0.01,0,0.93
13,Ward 2,Mbire,92,0,1,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0.4,0.8,0,0,0,0.4,0,7,7,0,No,1.47,0,0,0,1,0.5,2,Yes,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,3,4,0,Deteriorating,Stable,Stable,Stable,50,0,0,0,No,No,Relatives,0,NA,0.7,0,0.05,0.77
130,Ward 2,Mbire,28,0,1,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,0.8,0,0,0,0,0.8,0,8,15,0,No,1.75,0,0,1,0,0.583333333,3,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,3,4,0,Stable,Stable,Stable,Stable,0,0,0,0,No,No,Government extension,0,NA,0.47,0.11,0,0.95
131,Ward 2,Mbire,68,0,0,1,4,1,10,0,0,0,0,0,0,0,0,0,0,0,1.5,3,0.4,0.4,0.2,0.5,0,0,6,0,No,0.06,1,0,1,0,0.416666667,4,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,7,2,9,0,Deteriorating,Deteriorating,Deteriorating,Deteriorating,55,50,0,0,No,No,Government extension,310,387.5,0.25,0.06,0.25,0.06
132,Ward 2,Mbire,42,0,1,0,2,0,4,0,0,0,0,0,0,0,2,0,0,0,2,0,1,0,1,0,0,40,20,0,No,8.2,1,0,1,0,0.833333333,4,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,4,3,7,1,Deteriorating,Deteriorating,Deteriorating,Improving,50,50,0,0,No,No,Government extension,350,350,1.1,0.14,0,4.2
133,Ward 2,Mbire,75,0,0,1,1,0,4,0,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,0,2,6,0,No,0.46,1,0,1,1,0.25,2,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,3,6,0,Deteriorating,Stable,Deteriorating,Improving,0,0,0,0,No,No,Relatives,0,NA,0.2,0.2,0.06,0.26
134,Ward 2,Mbire,48,0,1,1,3,4,9,0,0,1,0,1,1,0,2,0,0,0,3,0,1,1.05,0.5,0.45,10,12,35,0,No,9.75,0,1,0,1,1,4,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,2,5,7,0,Deteriorating,Deteriorating,Stable,Deteriorating,50,50,1800,0,No,Yes,Government extension,2200,1073.170732,3.7,7.42,3.9,8.5
135,Ward 2,Mbire,52,0,1,0,2,1,5,0,0,2,1,1,0,0,1,0,0,0,2.5,0.16,0.2,1,0.3,1,10,23,44,0,No,12.04,1,0,1,1,0.416666667,3,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,9,6,15,0,Deteriorating,Deteriorating,Stable,Stable,50,50,900,6,No,No,Government extension,1000,833.3333333,2.12,0.18,0.1,9.65
136,Ward 2,Mbire,65,0,0,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.2,0,0,0,0,3,0,No,0.03,0,0,0,0,0,1,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,1,2,3,0,Deteriorating,Stable,Deteriorating,Stable,0,0,0,0,No,No,Other farmers,150,750,0,0,0,0.03
137,Ward 2,Mbire,45,0,1,0,2,1,8,0,0,1,0,0,0,0,1,0,0,0,2,0.6,0.7,0.8,0.2,0.3,6,8,18,0,No,5.98,1,0,0,0,0.666666667,4,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,8,4,12,0,Deteriorating,Stable,Deteriorating,Deteriorating,50,50,0,0,Yes,No,Government extension,400,266.6666667,2.3,0.2,0.3,5.18
138,Ward 2,Mbire,37,0,1,0,2,1,5,0,0,0,0,0,0,0,1,0,0,0,0.4,0.4,0.1,0.3,0,5.55E-17,0,5,2,0,No,1.02,1,0,0,0,0.25,2,Yes,No,Yes,Yes,Yes,Yes,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,8,3,11,0,Deteriorating,Improving,Deteriorating,Deteriorating,100,0,0,0,Yes,Yes,Government extension,250,625,0.45,0.1,0,0.52
139,Ward 2,Mbire,64,1,0,1,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0.8,0,0.4,0.4,0,0,0,3,10,0,No,0.7,1,0,1,0,0.75,3,Yes,No,No,Yes,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,3,3,6,0,Stable,Deteriorating,Improving,Deteriorating,50,50,0,0,No,No,Government extension,450,562.5,0.06,0,0,0.4
14,Ward 2,Mbire,39,0,1,0,2,0,5,0,0,1,0,0,0,0,0,0,0,0,1,0,0.4,0.4,0.2,0,0,39,25,0,No,9.55,0,0,1,1,0.416666667,4,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,3,4,7,0,Stable,Stable,Stable,Stable,50,50,0,0,Yes,Yes,Government extension,1000,1250,2.22,0.03,0.5,4.15
140,Ward 2,Mbire,67,0,1,2,1,1,7,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,0,0,0,7,18,0,No,1.58,0,0,1,0,0.416666667,4,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,0,3,3,0,Stable,Stable,Stable,Stable,50,50,0,0,No,No,Government extension,750,750,0.5,0.44,0,0.88
141,Ward 2,Mbire,34,1,0,0,2,0,5,0,0,0,0,0,0,0,2,0,0,0,0.8,0,0.2,0.4,0.2,5.55E-17,0,5,5,0,No,1.05,1,0,0,0,0,2,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7,3,10,1,Deteriorating,Improving,Improving,Deteriorating,0,0,0,0,Yes,Yes,Government extension,40,66.66666667,0.2,0.2,0,0.5
142,Ward 2,Mbire,44,0,1,0,2,2,7,0,0,0,0,0,0,0,1,0,0,0,1.6,0,0.1,1.4,0.1,8.33E-17,6,4,14,0,No,5.14,0,0,1,0,0.583333333,3,Yes,No,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,2,5,7,0,Deteriorating,Deteriorating,Deteriorating,Stable,10,25,0,0,Yes,Yes,Government extension,1000,666.6666667,2.4,0.1,0.03,4.65
143,Ward 2,Mbire,66,0,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0.8,0.9,0,0.4,0,0.4,0,14,10,0,No,3.9,1,0,1,0,0.416666667,3,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,5,4,9,0,Deteriorating,Deteriorating,Deteriorating,Stable,50,50,0,0,No,No,Government extension,400,1000,0.3,0.02,0.2,1.5
144,Ward 2,Mbire,89,0,0,2,2,3,11,0,0,0,0,0,0,0,1,0,0,0,1,1,0.3,0.7,0,0,0,2,22,0,No,0.62,1,0,1,0,0.5,0,No,No,Yes,Yes,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,4,3,7,0,Stable,Stable,Deteriorating,Deteriorating,0,0,0,0,No,No,Other farmers,450,450,0.1,0,0,0.42
145,Ward 2,Mbire,76,1,0,1,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0.8,3,0.4,0.4,0,0,0,1,0,0,No,0.2,1,0,1,0,1,3,No,No,Yes,Yes,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,7,2,9,0,Improving,Stable,Stable,Improving,0,0,0,0,No,No,Government extension,800,1000,0.1,0,0,0.1
